"","applicant_name","year","quarter","patent_name","patent_region","patent_no","patent_no_list","application_number","file_date","file_year","citations","abandoned","classification_1","classification_2","classification_3","classification_4","classification_7","classification_8","inventor_1","previous_application_stripe","applied","awarded","location","tags","volume","negativity_rating","permanence","price","contractprice","current_cost_per_tonne","capex","opex","quantification","thirdparty verification","net_neg sequestration_todate","lifetime mtco2e","gross project emissions","offer_quantity","contract_quantity","R_and_D_offer","awarded_factor","realised_cost_decrease","price_contract_diff","quantity_contract_diff","awardednum","sum_patents","treat_date"
"52","Climeworks",2020,1,"Distributed building-integrated carbon dioxide extraction system reducing fresh air requirements",NA,NA,"EP-2782657-A2",NA,2012-11-13,2012,NA,NA,NA,NA,NA,NA,NA,NA,"Jan Andre Wurzbacher, Christoph Gebald",0,1,1,"Iceland","DAC",50,0,1000,767.5,775,767.5,NA,NA,NA,NA,50,NA,NA,1,322.5,0,"1",0,-7.5,-321.5,1,29,2020-05-18
"53","8 Rivers",2021,4,"Partial oxidation reaction with closed cycle quench",NA,NA,"AU-2013216767-B2",NA,2013-02-11,2013,NA,NA,NA,NA,NA,NA,NA,NA,"Rodney John Allam, Jeremy Eron Fetvedt, Miles R. Palmer",0,1,0,"Arizona, USA","dac,mineralization",2446,0,1000,460,NA,500,NA,NA,NA,NA,NA,2446,446,2446,NA,NA,"0",-40,0,0,0,77,2021-12-05
"54","Vandersanden",2020,1,"BUILDING BLOCK FOR MASONRY, THEMSELF BUILT-IN MASONRY AND METHOD FOR MASONING WITH THIS BUILDING BLOCK.",NA,NA,"BE-1020829-A5",NA,2013-02-20,2013,NA,NA,NA,NA,NA,NA,NA,NA,"Maarten Leen",0,1,0,"Finland","mineralization,concrete",10,0,1000,20,NA,20,NA,NA,NA,NA,10,NA,NA,10,NA,NA,"0",0,0,0,0,13,2020-05-18
"55","8 Rivers",2021,4,"System and method for high efficiency power generation using a carbon dioxide circulating working fluid",NA,NA,"US-9062608-B2",NA,2013-03-14,2013,NA,NA,NA,NA,NA,NA,NA,NA,"Rodney John Allam, Miles R. Palmer, Glenn William Brown, JR.",0,1,0,"Arizona, USA","dac,mineralization",2446,0,1000,460,NA,500,NA,NA,NA,NA,NA,2446,446,2446,NA,NA,"0",-40,0,0,0,77,2021-12-05
"56","Vandersanden",2020,1,"Insulation wall and insulation plate for constructing the insulation wall",NA,NA,"EP-3108072-A1",NA,2014-02-17,2014,NA,NA,NA,NA,NA,NA,NA,NA,"Maarten LEÃ‹N",0,1,0,"Finland","mineralization,concrete",10,0,1000,20,NA,20,NA,NA,NA,NA,10,NA,NA,10,NA,NA,"0",0,0,0,0,13,2020-05-18
"57","8 Rivers",2021,4,"Launch vehicle and system and procedure for an economically efficient launch of the same",NA,NA,"ES-2685665-T3",NA,2014-03-14,2014,NA,NA,NA,NA,NA,NA,NA,NA,"Miles R. Palmer, Jr. Glenn William Brown",0,1,0,"Arizona, USA","dac,mineralization",2446,0,1000,460,NA,500,NA,NA,NA,NA,NA,2446,446,2446,NA,NA,"0",-40,0,0,0,77,2021-12-05
"58","CarbonCure",2020,1,"Network comprising a plurality of spatially separate cement mix operations","EU",NA,"EP-3709118-B1",NA,2014-06-25,2014,NA,0,NA,NA,NA,NA,NA,NA,"Robert Niven, George Sean Monkman, Dean Paul Forgeron, Kevin Cail, Joshua Jeremy Brown, Paul J. Sandberg, Mark Macdonald",0,1,1,"North America","Storage",60000,1,1000,100,100,100,NA,NA,NA,NA,60000,NA,NA,120000,2500,0,"1",0,0,117500,1,26,2020-05-18
"59","Solugen",2021,2,"Ddc control performance evaluation system and management method thereof",NA,NA,NA,NA,2014-06-27,2014,NA,NA,NA,NA,NA,NA,NA,NA,"ê¹€ì¸ì¤‘",0,1,0,"Texas, USA","biomass,injection",16384,0,1000,NA,NA,NA,NA,NA,NA,NA,NA,9824,0.4,9824,NA,NA,"0",NA,0,0,0,40,2021-05-17
"60","8 Rivers",2021,4,"High efficiency power production methods, assemblies, and systems",NA,NA,"US-10927679-B2",NA,2014-07-25,2014,NA,NA,NA,NA,NA,NA,NA,NA,"Miles R. Palmer, Jeremy Eron Fetvedt, Rodney John Allam",0,1,0,"Arizona, USA","dac,mineralization",2446,0,1000,460,NA,500,NA,NA,NA,NA,NA,2446,446,2446,NA,NA,"0",-40,0,0,0,77,2021-12-05
"61","Solid Carbon",2021,4,"Fiber optic sensor for measurement of carbon dioxide","US",NA,"US9891166B2","US15/032,794",2014-11-03,2014,9,0," G01N21/45 Refractivity; Phase-affecting properties, e.g. optical path length using interferometric methods; using Schlieren methods",NA,NA,NA,NA,NA,"Peter Wild, Thomas Fyles, David A. Risk, David A. Sinton, Bo Bao, Luis Melo, Martin B. G. Jun, Geoff Burton",0,1,0,"Cascadia Basin, Canada","mineralization,injection",10000,0,1000,2000,NA,190,NA,NA,NA,NA,NA,10000,3400,10000,NA,NA,"0",1810,0,0,0,1,2021-12-05
