"","key","m_y","patents_in_period","file_date","file_year","quarter","year","treat_date","unique_patents_in_period","previous_application_stripe","applied","awarded","location","tags","volume","negativity_rating","permanence","price","contractprice","current_cost_per_tonne","capex","opex","quantification","thirdparty verification","net_neg sequestration_todate","lifetime mtco2e","gross project emissions","offer_quantity","contract_quantity","R_and_D_offer","awarded_factor","realised_cost_decrease","price_contract_diff","quantity_contract_diff","awardednum","sum_patents","year_factor","repeat_factor"
"14930","Carbon Blue20224",Jun 2014,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,941,NA,941,448,465,12,16,NA,6470,267,300,NA,NA,"0",0,0,0,0,1,"2022","0"
"14931","Airhive20233",Jun 2014,NA,NA,NA,NA,NA,NA,NA,0,1,1,NA,"DAC",NA,NA,NA,530,530,530,182,196,19,22,NA,NA,NA,943,943,0,"1",0,0,0,1,1,"2023","0"
"14932","TerraFixing20224",Jun 2014,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,800,NA,546.51,249.66,196.74,99.38,0.74,NA,1000,295,13705,NA,NA,"0",253.49,0,0,0,1,"2022","0"
"14933","AspiraDAC20222",Jun 2014,NA,NA,NA,NA,NA,NA,NA,0,1,1,NA,"Capture and storage",NA,NA,NA,1000,1000,1000,NA,NA,NA,NA,NA,3300,1980,3100,500,0,"1",0,0,2600,1,1,"2022","0"
"14934","44.0120214",Jun 2014,NA,NA,NA,NA,NA,NA,NA,0,1,1,"Oman","Capture and storage",2920,0,1000,170,170,1000,NA,NA,NA,NA,NA,2890,39,2890,2941,0,"1",-830,0,-51,1,0,"2021","0"
"14935","Alkali Earth20233",Jun 2014,NA,NA,NA,NA,NA,NA,NA,0,1,1,NA,"Enhanced Weathering",NA,NA,NA,322.45,370,322.45,NA,NA,NA,NA,NA,NA,NA,1551,1351,0,"1",0,-47.55,200,1,0,"2023","0"
"14936","Arbon20233",Jun 2014,NA,NA,NA,NA,NA,NA,NA,0,1,1,NA,"DAC",NA,NA,NA,180,575,76,60,16,NA,NA,NA,NA,NA,2777,173,0,"1",104,-395,2604,1,0,"2023","0"
"14937","Arbor20224",Jun 2014,NA,NA,NA,NA,NA,NA,NA,0,1,1,NA,"Capture and storage",NA,NA,NA,500,500,500,40,71.5,0,0,NA,1316000,64800,1000,667,0,"1",0,0,333,1,0,"2022","0"
"14938","Banyu20233",Jun 2014,NA,NA,NA,NA,NA,NA,NA,0,1,1,NA,"Direct Ocean Removal",NA,NA,NA,1350,1387,1318,267,845,NA,NA,NA,NA,NA,360,360,0,"1",32,-37,0,1,0,"2023","0"
"14939","Bio-Concrete (VTT and PURO.EARTH)20212",Jun 2014,NA,NA,NA,NA,NA,NA,NA,0,1,0,"Finland","mineralization,concrete",150,0,1000,960,NA,960,NA,NA,NA,NA,NA,388,32,388,NA,NA,"0",0,0,0,0,0,"2021","0"
